;school;sex;age;address;Pstatus;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;approved
2;GP;F;15.0;U;T;mother;1.0;2.0;3.0;yes;yes;3.0;10.0;7.0;8.0;10.0;1.0
3;GP;F;15.0;U;T;mother;1.0;3.0;0.0;yes;yes;5.0;2.0;15.0;14.0;15.0;1.0
4;GP;F;16.0;U;T;father;1.0;2.0;0.0;yes;no;5.0;4.0;6.0;10.0;10.0;1.0
5;GP;M;16.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;10.0;15.0;15.0;15.0;0.0
6;GP;M;16.0;U;T;mother;1.0;2.0;0.0;no;yes;3.0;0.0;12.0;12.0;11.0;1.0
7;GP;F;17.0;U;A;mother;2.0;2.0;0.0;no;no;1.0;6.0;6.0;5.0;6.0;1.0
8;GP;M;15.0;U;A;mother;1.0;2.0;0.0;yes;yes;1.0;0.0;16.0;18.0;19.0;0.0
9;GP;M;15.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;0.0;14.0;15.0;15.0;1.0
10;GP;F;15.0;U;T;mother;1.0;2.0;0.0;yes;yes;2.0;0.0;10.0;8.0;9.0;1.0
11;GP;F;15.0;U;T;father;3.0;3.0;0.0;no;yes;4.0;4.0;10.0;12.0;12.0;1.0
12;GP;M;15.0;U;T;father;1.0;1.0;0.0;yes;yes;5.0;2.0;14.0;14.0;14.0;1.0
13;GP;M;15.0;U;T;mother;2.0;2.0;0.0;yes;yes;3.0;2.0;10.0;10.0;11.0;1.0
14;GP;M;15.0;U;A;other;1.0;3.0;0.0;no;yes;3.0;0.0;14.0;16.0;16.0;1.0
15;GP;F;16.0;U;T;mother;1.0;1.0;0.0;no;yes;2.0;4.0;14.0;14.0;14.0;1.0
16;GP;F;16.0;U;T;mother;1.0;3.0;0.0;yes;yes;2.0;6.0;13.0;14.0;14.0;0.0
17;GP;F;16.0;U;T;mother;3.0;2.0;0.0;no;no;4.0;4.0;8.0;10.0;10.0;1.0
18;GP;M;17.0;U;T;mother;1.0;1.0;3.0;no;yes;5.0;16.0;6.0;5.0;5.0;1.0
19;GP;M;16.0;U;T;father;1.0;1.0;0.0;yes;yes;5.0;4.0;8.0;10.0;10.0;1.0
20;GP;M;15.0;U;T;mother;1.0;2.0;0.0;no;yes;1.0;0.0;13.0;14.0;15.0;1.0
21;GP;M;15.0;U;T;father;1.0;1.0;0.0;yes;yes;5.0;0.0;12.0;15.0;15.0;1.0
22;GP;M;16.0;U;T;mother;1.0;2.0;0.0;no;yes;5.0;2.0;15.0;15.0;16.0;0.0
23;GP;M;16.0;U;T;mother;2.0;2.0;0.0;no;yes;5.0;0.0;13.0;13.0;12.0;0.0
24;GP;F;15.0;R;T;mother;1.0;3.0;0.0;yes;yes;5.0;2.0;10.0;9.0;8.0;1.0
25;GP;F;16.0;U;T;mother;1.0;1.0;2.0;yes;yes;5.0;14.0;6.0;9.0;8.0;1.0
26;GP;M;15.0;U;T;mother;1.0;1.0;0.0;yes;yes;5.0;2.0;12.0;12.0;11.0;1.0
27;GP;M;15.0;U;T;mother;1.0;1.0;0.0;yes;yes;1.0;4.0;15.0;16.0;15.0;0.0
28;GP;M;16.0;U;A;mother;1.0;2.0;0.0;no;yes;5.0;4.0;11.0;11.0;11.0;1.0
29;GP;M;16.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;16.0;10.0;12.0;11.0;1.0
30;GP;M;15.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;0.0;9.0;11.0;12.0;1.0
31;GP;M;15.0;U;T;mother;2.0;2.0;0.0;no;yes;5.0;0.0;17.0;16.0;17.0;1.0
32;GP;M;15.0;R;T;mother;1.0;2.0;0.0;no;yes;5.0;0.0;17.0;16.0;16.0;1.0
33;GP;M;15.0;U;T;mother;1.0;2.0;0.0;no;yes;2.0;0.0;8.0;10.0;12.0;0.0
34;GP;M;16.0;U;T;mother;1.0;1.0;0.0;yes;yes;5.0;0.0;12.0;14.0;15.0;1.0
35;GP;F;15.0;U;T;father;2.0;1.0;0.0;no;no;5.0;0.0;8.0;7.0;6.0;1.0
36;GP;M;15.0;U;T;mother;1.0;3.0;0.0;no;yes;4.0;2.0;15.0;16.0;18.0;1.0
37;GP;M;16.0;R;A;mother;2.0;3.0;0.0;no;yes;5.0;7.0;15.0;16.0;15.0;1.0
38;GP;F;15.0;R;T;mother;1.0;3.0;0.0;yes;yes;5.0;2.0;12.0;12.0;11.0;0.0
39;GP;F;15.0;R;T;mother;1.0;1.0;0.0;yes;no;2.0;8.0;14.0;13.0;13.0;1.0
40;GP;F;16.0;U;T;mother;2.0;2.0;1.0;no;yes;3.0;25.0;7.0;10.0;11.0;1.0
41;GP;M;15.0;U;T;other;1.0;1.0;0.0;no;yes;5.0;8.0;12.0;12.0;12.0;1.0
42;GP;M;15.0;U;T;father;1.0;2.0;0.0;no;yes;5.0;2.0;19.0;18.0;18.0;0.0
43;GP;M;15.0;U;T;father;1.0;1.0;0.0;no;yes;1.0;0.0;8.0;8.0;11.0;0.0
44;GP;F;16.0;U;T;father;2.0;2.0;1.0;no;yes;5.0;14.0;10.0;10.0;9.0;1.0
45;GP;F;15.0;U;A;mother;1.0;2.0;0.0;yes;yes;5.0;8.0;8.0;8.0;6.0;1.0
46;GP;F;16.0;U;A;mother;1.0;2.0;0.0;no;yes;3.0;12.0;11.0;12.0;11.0;1.0
47;GP;M;16.0;U;T;mother;1.0;4.0;0.0;no;yes;2.0;4.0;19.0;19.0;20.0;0.0
48;GP;M;15.0;U;T;mother;1.0;2.0;0.0;yes;no;5.0;2.0;15.0;15.0;14.0;1.0
49;GP;F;15.0;U;T;father;1.0;2.0;1.0;no;yes;3.0;2.0;7.0;7.0;7.0;1.0
50;GP;F;16.0;U;T;mother;3.0;2.0;0.0;yes;yes;4.0;2.0;12.0;13.0;13.0;1.0
51;GP;F;15.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;2.0;11.0;13.0;13.0;1.0
52;GP;M;15.0;U;A;father;2.0;1.0;1.0;no;no;5.0;6.0;11.0;11.0;10.0;1.0
53;GP;F;15.0;U;T;mother;1.0;1.0;0.0;yes;yes;5.0;0.0;8.0;10.0;11.0;1.0
54;GP;F;15.0;U;A;mother;1.0;1.0;0.0;yes;yes;1.0;6.0;10.0;13.0;13.0;1.0
55;GP;F;16.0;U;A;mother;1.0;2.0;0.0;yes;yes;2.0;8.0;8.0;9.0;10.0;1.0
56;GP;F;15.0;U;A;mother;1.0;2.0;0.0;yes;yes;1.0;0.0;14.0;15.0;15.0;0.0
57;GP;M;15.0;U;T;mother;1.0;2.0;0.0;no;no;5.0;4.0;14.0;15.0;15.0;1.0
58;GP;M;15.0;U;T;father;1.0;2.0;0.0;no;yes;5.0;2.0;9.0;10.0;9.0;1.0
59;GP;F;16.0;U;T;mother;1.0;2.0;0.0;no;yes;5.0;2.0;15.0;16.0;16.0;1.0
60;GP;F;16.0;R;T;mother;1.0;2.0;0.0;no;no;4.0;6.0;10.0;11.0;11.0;0.0
61;GP;F;16.0;U;T;father;4.0;1.0;0.0;no;yes;5.0;6.0;10.0;8.0;11.0;0.0
62;GP;F;16.0;U;T;father;1.0;2.0;0.0;no;yes;1.0;4.0;8.0;10.0;9.0;1.0
63;GP;F;16.0;U;T;mother;1.0;3.0;0.0;yes;yes;4.0;2.0;10.0;9.0;9.0;1.0
64;GP;F;15.0;U;T;father;1.0;2.0;0.0;no;yes;2.0;0.0;10.0;10.0;10.0;1.0
65;GP;F;16.0;U;T;mother;3.0;2.0;0.0;no;yes;1.0;2.0;16.0;15.0;15.0;0.0
66;GP;M;15.0;U;A;mother;1.0;4.0;0.0;no;yes;3.0;4.0;13.0;13.0;12.0;0.0
67;GP;F;16.0;U;T;mother;1.0;4.0;0.0;yes;yes;5.0;4.0;7.0;7.0;6.0;1.0
68;GP;F;15.0;R;T;mother;2.0;2.0;0.0;yes;yes;4.0;2.0;8.0;9.0;8.0;1.0
69;GP;F;15.0;R;T;father;2.0;4.0;0.0;no;yes;3.0;12.0;16.0;16.0;16.0;1.0
70;GP;M;16.0;U;T;father;2.0;4.0;0.0;yes;yes;5.0;0.0;13.0;15.0;15.0;0.0
71;GP;M;15.0;U;T;mother;1.0;4.0;0.0;no;yes;3.0;0.0;10.0;10.0;10.0;1.0
72;GP;F;15.0;R;T;mother;1.0;2.0;2.0;no;yes;5.0;2.0;8.0;6.0;5.0;0.0
73;GP;M;16.0;U;T;mother;1.0;1.0;0.0;no;no;5.0;2.0;12.0;12.0;14.0;1.0
74;GP;F;16.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;54.0;11.0;12.0;11.0;1.0
75;GP;M;15.0;U;T;mother;1.0;2.0;0.0;yes;yes;5.0;6.0;9.0;9.0;10.0;1.0
76;GP;M;15.0;U;T;mother;2.0;4.0;0.0;no;yes;1.0;8.0;11.0;11.0;10.0;1.0
77;GP;F;16.0;U;T;mother;1.0;4.0;0.0;yes;yes;3.0;0.0;11.0;11.0;11.0;0.0
